Test utterance,Grammar reference,F5-decoded,M1-decoded,F2-decoded,M4-decoded,M2-decoded,F4-decoded,M5-decoded,F1-decoded,F3-decoded,M3-decoded
hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik in ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer om mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,rats kom ik ongeveer aan mijn bestemming,hoe laat kom ik in ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming
wat is de aankomsttijd,wat is de aankomsttijd,wat is de aankomsttijd,wat is de aankomsttijd,wat is de aankomsttijd,wat is de aankomsttijd,wat is de aankomsttijd,want als de aankomsttijd,wat is de aankomsttijd,want als de aankomsttijd,wat is de aankomsttijd,wat is de aankomst tijd
hoe lang duurt het nog,hoe lang duurt het nog,hoelang duurt het nog,,hoelang duurt het nog,,hoelang duurt het nog,hoelang duurt het nog wel,,,hoelang duurt het nog,hoelang duurt het nog
kun je omkeren,kun je omkeren,kun je omkeren,,ging je omkeren,,kun je omkeren,,,kun je omkeren,kun je omkeren,kun je je omkeren
ik moet terug,ik moet terug,ik moet terug,,,,,,,,,
keer terug naar het startpunt,keer terug naar het startpunt,keert terug naar het startpunt,keer terug naar het startpunt,keert terug naar het startpunt,keert terug naar het startpunt,terug naar het startpunt,terug naar het startpunt,hier terug naar startpunt,keert terug naar het startpunt,terug naar het startpunt,keert terug naar het startpunt
wat is de volgende halte,wat is de volgende halte,wat is de volgende halte,wat is de volgende halte,wat is de volgende halte,wat is de volgende halte,wat is de volgende halte,wat is de volgende halte,het is de volgende halte,wat is de volgende halte,want het is de volgende halte,wat is de volgende halte
wat is de volgende stop,wat is de volgende stop,wat is de volgende stop,wat is de volgende stap,wat is de volgende stop,wat is de volgende stop,wat is de volgende stop,wat is de volgende,wat is de volgende stop,wat is de volgende stop,wat is de volgende stop,wat is de volgende stop
waar stoppen we zometeen,waar stoppen we zometeen,we stoppen we zometeen,maar stoppen we zometeen,maar stoppen we zometeen,we stoppen we zometeen,het wordt stop we zometeen,waar stoppen we zometeen,maar stoppen we zometeen,hij stopt we zometeen,waar stoppen we zometeen,waar stoppen we zometeen
waar zijn we nu,waar zijn we nu,waar zijn we nu,,,,,,,,,waar zijn we nu
hoe heet het hier,hoe heet het hier,hoe heet het hier,,,,,,,,,hoe heet het hier
wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,we hadden ze de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie
ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop
hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis,hoezo costa reis,hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis
hoe duur is het,hoe duur is het,hoe duur is hebt,,hoe duur is,,,,,,,hoe duur is hard
hoeveel moet ik betalen,hoeveel moet ik betalen,hoeveel moeten betalen,hoeveel moet ik betalen,hoe moet ik betalen,hoeveel moet ik betalen,hoeveel moet ik betalen,moet moeten betalen,hoe moet ik betalen,hoeveel moet ik betalen,hoeveel moeten betalen,hoeveel moet ik betalen
kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,we kunnen ons twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,wel twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,kunnen we rond twaalf uur vertrekken,kunnen we om twaalf uur vertrekken
kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,kunnen we om half vijf trekken,kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,om half vijf vertrekken,kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken
kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,kan er nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,maar nog even wachten tot kwart voor twaalf,kan je nog even wachten tot kwart over twaalf,kan je je nog even wachten tot kwart over twaalf,kun je nog even wachten tot kwart over twaalf
kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,ga je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,maar je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,kan je je nog even wachten tot zes uur,kan je nog even wachten tot zes uur
