Test utterance,Grammar reference,WDR (utterance vs reference),F5-decoded,F5 WER,F5 CER,M5-decoded,M5 WER,M5 CER,F3-decoded,F3 WER,F3 CER,M2-decoded,M2 WER,M2 CER,F1-decoded,F1 WER,F1 CER,M1-decoded,M1 WER,M1 CER,M3-decoded,M3 WER,M3 CER,F4-decoded,F4 WER,F4 CER,M4-decoded,M4 WER,M4 CER,F2-decoded,F2 WER,F2 CER
je mag me bij het radboud ziekenhuis afzetten,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij een radboud ziekenhuis afzetten,0.125,0.125,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,0.0
je mag me bij station heyendaal afzetten,je mag me bij station heyendaal afzetten,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0
je kunt me bij station heyendaal afzetten,je mag me bij station heyendaal afzetten,0.14285714285714285,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,ik wil er bij station heyendaal uit,0.5714285714285714,0.5714285714285714,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0
je mag me straks bij station heyendaal afzetten,je mag me bij station heyendaal afzetten,0.125,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0,je mag me bij station heyendaal afzetten,0.0,0.0
ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,0.0,ik wil er bij centraal station uit,0.125,0.125,ik wil er bij het centraal station uit,0.0,0.0,ik wil er bij centraal station uit,0.125,0.125,ik wil er bij het centraal station uit,0.0,0.0,ik wil er bij het centraal station uit,0.0,0.0,ik wil er bij het centraal station uit,0.0,0.0,ik wil er bij centraal station uit,0.125,0.125,ik wil er bij het centraal station uit,0.0,0.0,ik wil er bij het centraal station uit,0.0,0.0
ik wil er bij huygensgebouw uit alsjeblieft,ik wil er bij huygensgebouw uit,0.14285714285714285,ik wil er bij huygensgebouw uit,0.0,0.0,ik wil er bij het huygensgebouw uit,0.16666666666666666,0.16666666666666666,ik wil er bij huygensgebouw uit,0.0,0.0,ik wil er bij het huygensgebouw uit,0.16666666666666666,0.16666666666666666,ik wil er bij huygensgebouw uit,0.0,0.0,ik wil er bij huygensgebouw uit,0.0,0.0,ik wil er bij huygensgebouw uit,0.0,0.0,ik wil er bij het huygensgebouw uit,0.16666666666666666,0.16666666666666666,ik wil er bij huygensgebouw uit,0.0,0.0,ik wil er bij het huygensgebouw uit,0.16666666666666666,0.16666666666666666
ik moet er bij station heyendaal uit,ik wil er bij station heyendaal uit,0.14285714285714285,ik wil er bij station heyendaal uit,0.0,0.0,ik wil er bij station heyendaal uit,0.0,0.0,ik wil er bij station heyendaal uit,0.0,0.0,ik wil er bij station heyendaal uit,0.0,0.0,ik wil er bij station heyendaal uit,0.0,0.0,moet richting station heyendaal,0.7142857142857143,0.7142857142857143,ik wil er bij station heyendaal uit,0.0,0.0,ik wil er bij station heyendaal uit,0.0,0.0,ik wil er bij station heyendaal uit,0.0,0.0,ik wil er bij station heyendaal uit,0.0,0.0
hoe laat zijn we er,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0,hoe laat zijn we er,0.0,0.0
hoe laat kom ik aan,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0,hoe laat kom ik aan,0.0,0.0
hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,0.0
wat is de aankomsttijd,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0
wat is ongeveer de aankomsttijd,wat is de aankomsttijd,0.2,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0,wat is de aankomsttijd,0.0,0.0
hoe lang duurt het nog,hoe lang duurt het nog,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0
hoe lang duurt het nog voordat we er zijn,hoe lang duurt het nog,0.4444444444444444,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe laat zijn we er,0.8,0.8,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0
hoe lang duurt het,hoe lang duurt het nog,0.25,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0
hoe lang duurt het ongeveer,hoe lang duurt het nog,0.2,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0,hoe lang duurt het nog,0.0,0.0
kun je omkeren,kun je omkeren,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0
kun je hier omkeren,kun je omkeren,0.25,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0
omkeren,kun je omkeren,2.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0,kun je omkeren,0.0,0.0
ik moet terug,ik moet terug,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0
ik moet onmiddellijk terug,ik moet terug,0.25,ik moet terug,0.0,0.0,ik moet naar mercator,0.6666666666666666,0.6666666666666666,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0,ik moet terug,0.0,0.0
keer terug naar het startpunt,keer terug naar het startpunt,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0
naar het startpunt keer terug,keer terug naar het startpunt,0.8,ik moet terug,1.0,1.0,ga naar het station heyendaal,0.8,0.8,ik moet terug,1.0,1.0,ga naar het mercator,0.6,0.6,ga naar station heyendaal,0.8,0.8,ga naar het station heyendaal,0.8,0.8,ga naar het station heyendaal,0.8,0.8,keer terug,0.6,0.6,ga naar het station heyendaal,0.8,0.8,ga naar een mercator,0.8,0.8
keer zometeen terug naar het startpunt,keer terug naar het startpunt,0.16666666666666666,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,kunnen we om twintig negen vertrekken,1.2,1.2,keer terug naar het startpunt,0.0,0.0
keer terug naar startpunt,keer terug naar het startpunt,0.25,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0,keer terug naar het startpunt,0.0,0.0
wat is de volgende halte,wat is de volgende halte,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0,wat is de volgende halte,0.0,0.0
wat is de volgende stop,wat is de volgende stop,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0,wat is de volgende stop,0.0,0.0
waar stoppen we zometeen,waar stoppen we zometeen,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0
waar stoppen we dadelijk,waar stoppen we zometeen,0.25,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0
waar stoppen we,waar stoppen we zometeen,0.3333333333333333,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0
trouwens waar stoppen we zometeen,waar stoppen we zometeen,0.2,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0,waar stoppen we zometeen,0.0,0.0
waar zijn we nu,waar zijn we nu,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0
nu zijn we waar,waar zijn we nu,0.5,wanneer zijn we er,0.5,0.5,hoe laat zijn we er,0.75,0.75,wanneer zijn we er,0.5,0.5,wanneer zijn we er,0.5,0.5,hoe laat zijn we er,0.75,0.75,wanneer zijn we er,0.5,0.5,wanneer zijn we er,0.5,0.5,waar zijn we nu,0.0,0.0,wanneer zijn we er,0.5,0.5,waar zijn we nu,0.0,0.0
en waar zijn we nu,waar zijn we nu,0.2,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0
waar zijn we,waar zijn we nu,0.3333333333333333,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0,waar zijn we nu,0.0,0.0
hoe heet het hier,hoe heet het hier,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0
hier heet het hoe,hoe heet het hier,0.5,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0,hoe heet het hier,0.0,0.0
wat is de huidige locatie,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0
de huidige locatie is wat,wat is de huidige locatie,0.8,ik ga naar mercator,1.0,1.0,wil naar de radboud ziekenhuis,0.8,0.8,breng richting het mercator,1.0,1.0,wat is de huidige locatie,0.0,0.0,wat is de huidige locatie,0.0,0.0,ga naar mercator,1.0,1.0,ga naar huygensgebouw,1.0,1.0,hoe duur is het,1.0,1.0,wat is de huidige locatie,0.0,0.0,ga naar de mercator,0.8,0.8
ik wil graag een tussenstop,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0
ik wil een tussenstop,ik wil graag een tussenstop,0.25,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0
ik wil nog een tussenstop,ik wil graag een tussenstop,0.2,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0,ik wil graag een tussenstop,0.0,0.0
kunnen we onderweg stoppen bij station heyendaal,kunnen we onderweg stoppen bij station heyendaal,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0
kunnen we stoppen bij station heyendaal,kunnen we onderweg stoppen bij station heyendaal,0.16666666666666666,kunnen we een zes vertrekken,0.7142857142857143,0.7142857142857143,kun je stoppen bij station heyendaal,0.42857142857142855,0.42857142857142855,kunnen we een vijf vertrekken,0.7142857142857143,0.7142857142857143,kun je stoppen bij station heyendaal,0.42857142857142855,0.42857142857142855,kun je stoppen bij station heyendaal,0.42857142857142855,0.42857142857142855,kunnen we onderweg stoppen bij een huygensgebouw,0.2857142857142857,0.2857142857142857,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij een huygensgebouw,0.2857142857142857,0.2857142857142857,kun je stoppen bij station heyendaal,0.42857142857142855,0.42857142857142855,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0
